,"K_{1,3}",P_4,C_4,K_4,K_3+e,K_4-e,K_3,P_3,K_2,2K_2,E_4,n,s,t,counter
0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,True
1,0,0,0,0,0,0,0,0,0,0,0,2,3,4,True
2,0,0,0,0,0,0,0,0,0,0,0,2,3,4,True
3,0,0,0,0,0,0,0,0,0,0,0,3,3,4,True
4,0,0,0,0,0,0,0,0,0,0,0,3,3,4,True
5,0,0,0,0,0,0,0,0,0,0,0,3,3,4,True
6,0,0,0,0,0,0,0,0,0,0,0,4,3,4,True
7,0,0,0,0,0,0,0,0,0,0,0,4,3,4,True
8,1,0,0,0,0,0,0,0,0,0,0,4,3,4,True
9,0,1,0,0,0,0,0,0,0,0,0,4,3,4,True
10,0,0,0,0,0,0,0,0,0,1,0,4,3,4,True
11,0,0,1,0,0,0,0,0,0,0,0,4,3,4,True
12,0,0,0,0,0,0,0,2,1,2,0,5,3,4,True
13,1,2,0,0,0,0,0,1,1,0,0,5,3,4,True
14,0,1,0,0,0,0,0,0,0,0,0,5,3,4,True
15,1,2,1,0,0,0,0,1,0,0,0,5,3,4,True
16,0,2,0,0,0,0,0,2,0,1,0,5,3,4,True
17,2,0,3,0,0,0,0,0,0,0,0,5,3,4,True
18,0,0,0,0,0,0,0,0,0,1,0,5,3,4,True
19,0,0,1,0,0,0,0,0,0,0,0,5,3,4,True
20,0,5,0,0,0,0,0,0,0,0,0,5,3,4,True
21,0,3,0,0,0,0,0,6,3,3,0,6,3,4,True
22,2,5,1,0,0,0,0,4,3,0,0,6,3,4,True
23,1,4,0,0,0,0,0,4,5,1,0,6,3,4,True
24,1,7,0,0,0,0,0,4,2,1,0,6,3,4,True
25,1,4,1,0,0,0,0,6,1,2,0,6,3,4,True
26,3,4,3,0,0,0,0,4,1,0,0,6,3,4,True
27,0,5,0,0,0,0,0,0,0,0,0,6,3,4,True
28,4,4,5,0,0,0,0,2,0,0,0,6,3,4,True
29,0,1,0,0,0,0,0,4,7,3,0,6,3,4,True
30,2,9,1,0,0,0,0,2,1,0,0,6,3,4,True
31,0,0,0,0,0,0,0,0,12,3,0,6,3,4,True
32,0,0,1,0,0,0,0,8,2,4,0,6,3,4,True
33,2,6,2,0,0,0,0,4,0,1,0,6,3,4,True
34,0,6,0,0,0,0,0,6,0,3,0,6,3,4,True
35,6,0,9,0,0,0,0,0,0,0,0,6,3,4,True
36,4,16,2,0,0,0,0,8,4,1,0,7,3,4,True
37,3,13,1,0,0,0,0,9,8,1,0,7,3,4,True
38,4,13,3,0,0,0,0,10,3,2,0,7,3,4,True
39,1,9,0,0,0,0,0,11,10,4,0,7,3,4,True
40,2,14,0,0,0,0,0,10,6,3,0,7,3,4,True
41,0,5,0,0,0,0,0,10,15,5,0,7,3,4,True
42,0,7,0,0,0,0,0,14,7,7,0,7,3,4,True
43,2,11,1,0,0,0,0,12,5,4,0,7,3,4,True
44,6,16,5,0,0,0,0,6,2,0,0,7,3,4,True
45,6,28,2,0,0,0,0,18,13,3,0,8,3,4,True
46,4,22,1,0,0,0,0,20,18,5,0,8,3,4,True
47,8,32,4,0,0,0,0,16,8,2,0,8,3,4,True
