Id,Creation Time,Owner,Runtime,Counters,Iterations,N,S,T,parameters/batch_size,parameters/epochs,parameters/last_activation,parameters/optimizer,parameters/pretrain,parameters/loss
RAM-52,6/1/2023 17:36,alehav,280.4645555,1,1279,8,3,4,32,1,sigmoid,adam,TRUE,
RAM-53,6/1/2023 17:45,alehav,96.4047627,1,516,8,3,4,32,1,sigmoid,adam,TRUE,
RAM-54,6/1/2023 17:47,alehav,447.7417312,3,2076,8,3,4,32,1,sigmoid,adam,TRUE,
RAM-55,6/1/2023 17:55,alehav,460.0563626,0,2208,8,3,4,32,1,sigmoid,adam,TRUE,
RAM-56,6/1/2023 18:03,alehav,48.692309,1,250,8,3,4,32,1,sigmoid,adam,TRUE,
RAM-57,6/1/2023 18:04,alehav,837.0318066,3,3963,8,3,4,32,1,sigmoid,adam,TRUE,
RAM-58,6/1/2023 18:18,alehav,914.3620506,3,4222,8,3,4,32,1,sigmoid,adam,TRUE,
RAM-59,6/1/2023 18:34,alehav,759.9361654,3,3606,8,3,4,32,1,sigmoid,adam,TRUE,
RAM-60,6/1/2023 18:47,alehav,21.1357793,0,100,8,3,4,32,1,sigmoid,adam,TRUE,
RAM-61,6/1/2023 18:47,alehav,192.8864573,0,893,8,3,4,32,1,sigmoid,adam,TRUE,
RAM-62,6/1/2023 18:53,alehav,292.8856846,0,1410,8,3,4,32,1,linear,adam,TRUE,
RAM-63,6/1/2023 18:58,alehav,105.2736121,0,493,8,3,4,32,1,linear,adam,TRUE,
RAM-64,6/1/2023 19:00,alehav,123.3676757,0,594,8,3,4,32,1,linear,adam,TRUE,
RAM-65,6/1/2023 19:03,alehav,156.1415579,0,747,8,3,4,32,1,linear,adam,TRUE,
RAM-66,6/1/2023 19:06,alehav,37.9839958,0,196,8,3,4,32,1,linear,adam,TRUE,
RAM-67,6/1/2023 19:07,alehav,87.8594463,0,406,8,3,4,32,1,linear,adam,TRUE,
RAM-68,6/1/2023 19:08,alehav,74.437629,0,341,8,3,4,32,1,linear,adam,TRUE,
RAM-69,6/1/2023 19:10,alehav,583.8132087,0,2796,8,3,4,32,1,linear,adam,TRUE,
RAM-70,6/1/2023 19:20,alehav,196.2456653,0,907,8,3,4,32,1,linear,adam,TRUE,
RAM-71,6/1/2023 19:23,alehav,650.1005559,3,3046,8,3,4,32,1,linear,adam,TRUE,
RAM-72,6/1/2023 19:35,alehav,190.2553099,2,928,8,3,4,32,1,tanh,adam,TRUE,
RAM-73,6/1/2023 19:39,alehav,584.8029072,0,2786,8,3,4,32,1,tanh,adam,TRUE,
RAM-74,6/1/2023 19:49,alehav,53.8875138,1,240,8,3,4,32,1,tanh,adam,TRUE,
RAM-75,6/1/2023 19:50,alehav,175.1833513,3,799,8,3,4,32,1,tanh,adam,TRUE,
RAM-76,6/1/2023 19:53,alehav,109.4247225,0,526,8,3,4,32,1,tanh,adam,TRUE,
RAM-77,6/1/2023 19:55,alehav,163.3747943,0,752,8,3,4,32,1,tanh,adam,TRUE,
RAM-78,6/1/2023 19:58,alehav,278.9445838,0,1338,8,3,4,32,1,tanh,adam,TRUE,
RAM-80,6/1/2023 20:08,alehav,669.9626521,2,3135,8,3,4,32,1,tanh,adam,TRUE,
RAM-81,6/1/2023 20:19,alehav,111.1089495,0,493,8,3,4,32,1,tanh,adam,TRUE,
RAM-82,6/1/2023 20:22,alehav,114.2758278,2,521,8,3,4,32,1,tanh,adam,TRUE,
