,K_2,P_3,"K_{1,3}",P_4,K_3,C_4,K_4,K_3+e,K_4-e,n,s,t,counter
0,0,0,0,0,0,0,0,0,0,3,2,2,False
1,0,0,0,0,0,0,0,0,0,3,2,2,False
2,0,0,0,0,0,0,0,0,0,3,2,2,False
3,0,0,0,0,0,0,0,0,0,3,2,2,False
4,0,0,0,0,0,0,0,0,0,4,2,2,False
5,0,0,0,0,0,0,0,0,0,4,2,3,False
6,0,0,0,0,0,0,0,0,0,4,3,3,False
7,1,0,0,0,0,0,0,0,0,4,2,2,False
8,1,0,0,0,0,0,0,0,0,4,2,3,False
9,1,0,0,0,0,0,0,0,0,4,3,3,False
10,0,1,0,0,0,0,0,0,0,4,2,2,False
11,0,1,0,0,0,0,0,0,0,4,2,3,False
12,0,1,0,0,0,0,0,0,0,4,3,3,False
13,0,0,1,0,0,0,0,0,0,4,2,2,False
14,0,0,1,0,0,0,0,0,0,4,2,3,False
15,0,0,1,0,0,0,0,0,0,4,3,3,False
16,0,0,0,0,0,0,0,0,0,4,2,2,False
17,0,0,0,0,0,0,0,0,0,4,2,3,False
18,0,0,0,0,0,0,0,0,0,4,3,3,True
19,0,0,0,0,1,0,0,0,0,4,2,2,False
20,0,0,0,0,1,0,0,0,0,4,2,3,False
21,0,0,0,0,1,0,0,0,0,4,3,3,False
22,0,0,0,1,0,0,0,0,0,4,2,2,False
23,0,0,0,1,0,0,0,0,0,4,2,3,False
24,0,0,0,1,0,0,0,0,0,4,3,3,True
25,0,0,0,0,0,0,0,1,0,4,2,2,False
26,0,0,0,0,0,0,0,1,0,4,2,3,False
27,0,0,0,0,0,0,0,1,0,4,3,3,False
28,0,0,0,0,0,1,0,0,0,4,2,2,False
29,0,0,0,0,0,1,0,0,0,4,2,3,False
30,0,0,0,0,0,1,0,0,0,4,3,3,True
31,0,0,0,0,0,0,0,0,1,4,2,2,False
32,0,0,0,0,0,0,0,0,1,4,2,3,False
33,0,0,0,0,0,0,0,0,1,4,3,3,False
34,0,0,0,0,0,0,1,0,0,4,2,2,False
35,0,0,0,0,0,0,1,0,0,4,2,3,False
36,0,0,0,0,0,0,1,0,0,4,3,3,False
37,0,0,0,0,0,0,0,0,0,5,2,2,False
38,0,0,0,0,0,0,0,0,0,5,2,3,False
39,0,0,0,0,0,0,0,0,0,5,2,4,False
40,0,0,0,0,0,0,0,0,0,5,3,3,False
41,0,0,0,0,0,0,0,0,0,5,3,4,False
42,0,0,0,0,0,0,0,0,0,5,4,4,False
43,3,0,0,0,0,0,0,0,0,5,2,2,False
44,3,0,0,0,0,0,0,0,0,5,2,3,False
45,3,0,0,0,0,0,0,0,0,5,2,4,False
46,3,0,0,0,0,0,0,0,0,5,3,3,False
47,3,0,0,0,0,0,0,0,0,5,3,4,False
48,3,0,0,0,0,0,0,0,0,5,4,4,False
49,2,2,0,0,0,0,0,0,0,5,2,2,False
50,2,2,0,0,0,0,0,0,0,5,2,3,False
51,2,2,0,0,0,0,0,0,0,5,2,4,False
52,2,2,0,0,0,0,0,0,0,5,3,3,False
53,2,2,0,0,0,0,0,0,0,5,3,4,False
54,2,2,0,0,0,0,0,0,0,5,4,4,False
55,0,3,1,0,0,0,0,0,0,5,2,2,False
56,0,3,1,0,0,0,0,0,0,5,2,3,False
57,0,3,1,0,0,0,0,0,0,5,2,4,False
58,0,3,1,0,0,0,0,0,0,5,3,3,False
59,0,3,1,0,0,0,0,0,0,5,3,4,False
60,0,3,1,0,0,0,0,0,0,5,4,4,False
61,0,0,4,0,0,0,0,0,0,5,2,2,False
62,0,0,4,0,0,0,0,0,0,5,2,3,False
63,0,0,4,0,0,0,0,0,0,5,2,4,False
64,0,0,4,0,0,0,0,0,0,5,3,3,False
65,0,0,4,0,0,0,0,0,0,5,3,4,False
66,0,0,4,0,0,0,0,0,0,5,4,4,False
67,4,0,0,0,0,0,0,0,0,5,2,2,False
68,4,0,0,0,0,0,0,0,0,5,2,3,False
69,4,0,0,0,0,0,0,0,0,5,2,4,False
70,4,0,0,0,0,0,0,0,0,5,3,3,False
71,4,0,0,0,0,0,0,0,0,5,3,4,True
72,4,0,0,0,0,0,0,0,0,5,4,4,True
73,1,2,0,0,0,0,0,0,0,5,2,2,False
74,1,2,0,0,0,0,0,0,0,5,2,3,False
75,1,2,0,0,0,0,0,0,0,5,2,4,False
76,1,2,0,0,0,0,0,0,0,5,3,3,False
77,1,2,0,0,0,0,0,0,0,5,3,4,True
78,1,2,0,0,0,0,0,0,0,5,4,4,True
79,3,0,0,0,2,0,0,0,0,5,2,2,False
80,3,0,0,0,2,0,0,0,0,5,2,3,False
81,3,0,0,0,2,0,0,0,0,5,2,4,False
82,3,0,0,0,2,0,0,0,0,5,3,3,False
83,3,0,0,0,2,0,0,0,0,5,3,4,False
84,3,0,0,0,2,0,0,0,0,5,4,4,True
85,2,2,0,1,0,0,0,0,0,5,2,2,False
86,2,2,0,1,0,0,0,0,0,5,2,3,False
87,2,2,0,1,0,0,0,0,0,5,2,4,False
88,2,2,0,1,0,0,0,0,0,5,3,3,False
89,2,2,0,1,0,0,0,0,0,5,3,4,True
90,2,2,0,1,0,0,0,0,0,5,4,4,True
91,1,2,0,0,1,0,0,1,0,5,2,2,False
92,1,2,0,0,1,0,0,1,0,5,2,3,False
93,1,2,0,0,1,0,0,1,0,5,2,4,False
94,1,2,0,0,1,0,0,1,0,5,3,3,False
95,1,2,0,0,1,0,0,1,0,5,3,4,False
96,1,2,0,0,1,0,0,1,0,5,4,4,True
97,1,1,1,2,0,0,0,0,0,5,2,2,False
98,1,1,1,2,0,0,0,0,0,5,2,3,False
99,1,1,1,2,0,0,0,0,0,5,2,4,False
100,1,1,1,2,0,0,0,0,0,5,3,3,False
101,1,1,1,2,0,0,0,0,0,5,3,4,True
102,1,1,1,2,0,0,0,0,0,5,4,4,True
103,1,0,2,0,0,0,0,2,0,5,2,2,False
104,1,0,2,0,0,0,0,2,0,5,2,3,False
105,1,0,2,0,0,0,0,2,0,5,2,4,False
106,1,0,2,0,0,0,0,2,0,5,3,3,False
107,1,0,2,0,0,0,0,2,0,5,3,4,False
108,1,0,2,0,0,0,0,2,0,5,4,4,True
109,0,2,0,1,0,0,0,2,0,5,2,2,False
110,0,2,0,1,0,0,0,2,0,5,2,3,False
111,0,2,0,1,0,0,0,2,0,5,2,4,False
112,0,2,0,1,0,0,0,2,0,5,3,3,False
113,0,2,0,1,0,0,0,2,0,5,3,4,False
114,0,2,0,1,0,0,0,2,0,5,4,4,True
115,0,4,0,0,0,1,0,0,0,5,2,2,False
116,0,4,0,0,0,1,0,0,0,5,2,3,False
117,0,4,0,0,0,1,0,0,0,5,2,4,False
118,0,4,0,0,0,1,0,0,0,5,3,3,False
119,0,4,0,0,0,1,0,0,0,5,3,4,True
