,"K_{1,3}",P_4,C_4,K_4,K_3+e,K_4-e,K_3,P_3,K_2,2K_2,E_4,n,s,t,counter
0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,True
1,14,51,4,0,0,0,0,64,53,14,10,10,3,5,True
2,18,53,5,0,0,0,0,58,55,8,13,10,3,5,True
3,20,62,6,0,0,0,0,58,46,8,10,10,3,5,True
4,8,40,2,0,0,0,0,70,58,21,11,10,3,5,True
5,14,53,3,0,0,0,0,64,51,14,11,10,3,5,True
6,22,59,8,0,0,0,0,57,47,6,11,10,3,5,True
7,14,54,3,0,0,0,0,62,54,13,10,10,3,5,True
8,26,63,12,0,0,0,0,56,39,5,9,10,3,5,True
9,14,50,4,0,0,0,0,66,50,15,11,10,3,5,True
10,18,63,5,0,0,0,0,59,47,10,8,10,3,5,True
11,16,50,5,0,0,0,0,63,52,12,12,10,3,5,True
12,18,59,6,0,0,0,0,63,43,12,9,10,3,5,True
13,16,47,6,0,0,0,0,65,51,13,12,10,3,5,True
14,16,53,4,0,0,0,0,61,53,11,12,10,3,5,True
15,16,54,4,0,0,0,0,59,56,10,11,10,3,5,True
16,16,53,4,0,0,0,0,61,53,11,12,10,3,5,True
17,24,66,10,0,0,0,0,57,38,7,8,10,3,5,True
18,16,50,5,0,0,0,0,63,52,12,12,10,3,5,True
19,24,66,10,0,0,0,0,57,38,7,8,10,3,5,True
20,20,56,8,0,0,0,0,62,44,10,10,10,3,5,True
21,18,59,6,0,0,0,0,63,43,12,9,10,3,5,True
22,14,51,4,0,0,0,0,64,53,14,10,10,3,5,True
23,20,62,6,0,0,0,0,58,46,8,10,10,3,5,True
24,8,48,0,0,0,0,0,62,66,17,9,10,3,5,True
25,8,40,2,0,0,0,0,70,58,21,11,10,3,5,True
26,22,56,9,0,0,0,0,59,46,7,11,10,3,5,True
27,14,54,3,0,0,0,0,62,54,13,10,10,3,5,True
28,18,50,6,0,0,0,0,60,54,9,13,10,3,5,True
29,14,51,4,0,0,0,0,64,53,14,10,10,3,5,True
30,14,51,4,0,0,0,0,64,53,14,10,10,3,5,True
31,14,51,4,0,0,0,0,64,53,14,10,10,3,5,True
32,10,43,2,0,0,0,0,65,61,17,12,10,3,5,True
33,10,43,2,0,0,0,0,65,61,17,12,10,3,5,True
34,10,39,3,0,0,0,0,69,57,19,13,10,3,5,True
35,10,40,3,0,0,0,0,67,60,18,12,10,3,5,True
36,16,47,6,0,0,0,0,65,51,13,12,10,3,5,True
37,10,39,3,0,0,0,0,69,57,19,13,10,3,5,True
38,20,59,7,0,0,0,0,60,45,9,10,10,3,5,True
39,16,53,4,0,0,0,0,61,53,11,12,10,3,5,True
40,16,48,6,0,0,0,0,63,54,12,11,10,3,5,True
41,26,63,12,0,0,0,0,56,39,5,9,10,3,5,True
42,14,47,5,0,0,0,0,68,49,16,11,10,3,5,True
43,8,44,1,0,0,0,0,66,62,19,10,10,3,5,True
44,32,62,19,0,0,0,0,54,32,3,8,10,3,5,True
45,16,50,5,0,0,0,0,63,52,12,12,10,3,5,True
46,14,51,4,0,0,0,0,64,53,14,10,10,3,5,True
47,24,63,11,0,0,0,0,59,37,8,8,10,3,5,True
48,24,63,11,0,0,0,0,59,37,8,8,10,3,5,True
49,24,63,11,0,0,0,0,59,37,8,8,10,3,5,True
50,8,35,1,0,0,0,0,63,69,18,16,10,3,5,True
51,15,55,4,0,0,0,0,60,56,9,11,10,3,5,True
52,19,51,7,0,0,0,0,58,56,5,14,10,3,5,True
53,10,43,2,0,0,0,0,65,61,17,12,10,3,5,True
54,18,60,6,0,0,0,0,61,46,11,8,10,3,5,True
55,14,48,5,0,0,0,0,66,52,15,10,10,3,5,True
56,16,54,4,0,0,0,0,59,56,10,11,10,3,5,True
57,16,51,5,0,0,0,0,61,55,11,11,10,3,5,True
58,20,57,8,0,0,0,0,60,47,9,9,10,3,5,True
59,20,53,9,0,0,0,0,64,43,11,10,10,3,5,True
60,6,32,1,0,0,0,0,68,66,22,15,10,3,5,True
61,12,51,3,0,0,0,0,67,51,17,9,10,3,5,True
62,16,57,3,0,0,0,0,57,57,9,11,10,3,5,True
63,10,35,2,0,0,0,0,60,71,15,17,10,3,5,True
64,12,45,2,0,0,0,0,62,61,14,14,10,3,5,True
65,14,44,6,0,0,0,0,70,48,17,11,10,3,5,True
66,6,36,0,0,0,0,0,64,70,20,14,10,3,5,True
67,12,47,4,0,0,0,0,71,47,19,10,10,3,5,True
68,12,55,2,0,0,0,0,63,55,15,8,10,3,5,True
69,28,70,14,0,0,0,0,56,28,7,7,10,3,5,True
70,34,73,20,0,0,0,0,50,23,4,6,10,3,5,True
71,12,42,3,0,0,0,0,64,60,15,14,10,3,5,True
72,8,33,2,0,0,0,0,63,71,18,15,10,3,5,True
73,16,51,5,0,0,0,0,61,55,11,11,10,3,5,True
74,12,42,3,0,0,0,0,64,60,15,14,10,3,5,True
75,12,43,3,0,0,0,0,62,63,14,13,10,3,5,True
76,20,54,9,0,0,0,0,62,46,10,9,10,3,5,True
77,20,50,10,0,0,0,0,66,42,12,10,10,3,5,True
78,14,45,6,0,0,0,0,68,51,16,10,10,3,5,True
79,12,51,3,0,0,0,0,67,51,17,9,10,3,5,True
80,6,33,1,0,0,0,0,66,69,21,14,10,3,5,True
81,6,33,1,0,0,0,0,66,69,21,14,10,3,5,True
82,6,33,1,0,0,0,0,66,69,21,14,10,3,5,True
83,13,46,3,0,0,0,0,60,63,10,15,10,3,5,True
84,14,51,4,0,0,0,0,64,53,14,10,10,3,5,True
85,10,46,1,0,0,0,0,63,62,16,12,10,3,5,True
86,6,33,1,0,0,0,0,66,69,21,14,10,3,5,True
87,14,48,5,0,0,0,0,66,52,15,10,10,3,5,True
88,6,37,0,0,0,0,0,62,73,19,13,10,3,5,True
89,6,26,1,0,0,0,0,59,80,19,19,10,3,5,True
90,20,63,6,0,0,0,0,56,49,7,9,10,3,5,True
91,8,40,2,0,0,0,0,70,58,21,11,10,3,5,True
92,20,59,7,0,0,0,0,60,45,9,10,10,3,5,True
93,8,40,2,0,0,0,0,70,58,21,11,10,3,5,True
94,8,44,1,0,0,0,0,66,62,19,10,10,3,5,True
95,28,67,15,0,0,0,0,58,27,8,7,10,3,5,True
96,20,56,8,0,0,0,0,62,44,10,10,10,3,5,True
97,8,36,3,0,0,0,0,74,54,23,12,10,3,5,True
98,14,47,5,0,0,0,0,68,49,16,11,10,3,5,True
99,14,52,4,0,0,0,0,62,56,13,9,10,3,5,True
100,14,48,5,0,0,0,0,66,52,15,10,10,3,5,True
101,20,56,8,0,0,0,0,62,44,10,10,10,3,5,True
102,28,71,14,0,0,0,0,54,31,6,6,10,3,5,True
103,20,57,8,0,0,0,0,60,47,9,9,10,3,5,True
104,8,40,2,0,0,0,0,70,58,21,11,10,3,5,True
105,14,47,5,0,0,0,0,68,49,16,11,10,3,5,True
106,20,59,7,0,0,0,0,60,45,9,10,10,3,5,True
107,17,54,5,0,0,0,0,59,55,7,13,10,3,5,True
108,14,54,3,0,0,0,0,62,54,13,10,10,3,5,True
109,14,51,4,0,0,0,0,64,53,14,10,10,3,5,True
110,14,47,5,0,0,0,0,68,49,16,11,10,3,5,True
111,14,50,4,0,0,0,0,66,50,15,11,10,3,5,True
112,14,51,4,0,0,0,0,64,53,14,10,10,3,5,True
113,14,47,5,0,0,0,0,68,49,16,11,10,3,5,True
114,8,40,2,0,0,0,0,70,58,21,11,10,3,5,True
115,34,73,20,0,0,0,0,50,23,4,6,10,3,5,True
116,14,51,4,0,0,0,0,64,53,14,10,10,3,5,True
117,10,43,2,0,0,0,0,65,61,17,12,10,3,5,True
118,14,48,5,0,0,0,0,66,52,15,10,10,3,5,True
119,14,44,6,0,0,0,0,70,48,17,11,10,3,5,True
120,10,42,2,0,0,0,0,67,58,18,13,10,3,5,True
121,20,53,9,0,0,0,0,64,43,11,10,10,3,5,True
122,8,36,1,0,0,0,0,61,72,17,15,10,3,5,True
123,10,43,2,0,0,0,0,65,61,17,12,10,3,5,True
124,10,43,2,0,0,0,0,65,61,17,12,10,3,5,True
125,20,53,9,0,0,0,0,64,43,11,10,10,3,5,True
126,20,57,8,0,0,0,0,60,47,9,9,10,3,5,True
127,16,48,6,0,0,0,0,63,54,12,11,10,3,5,True
128,14,48,5,0,0,0,0,66,52,15,10,10,3,5,True
129,28,71,14,0,0,0,0,54,31,6,6,10,3,5,True
130,9,36,2,0,0,0,0,61,71,14,17,10,3,5,True
