,"K_{1,3}",P_4,C_4,K_4,K_3+e,K_4-e,K_3,P_3,K_2,2K_2,E_4,n,s,t,counter
0,400,1136,91,0,0,0,0,2054,2304,388,942,22,3,7,True
1,420,1195,95,0,0,0,0,2050,2275,375,905,22,3,7,True
2,400,1136,91,0,0,0,0,2054,2304,388,942,22,3,7,True
3,400,1132,92,0,0,0,0,2058,2300,390,943,22,3,7,True
4,400,1140,90,0,0,0,0,2050,2308,386,941,22,3,7,True
5,400,1132,92,0,0,0,0,2058,2300,390,943,22,3,7,True
6,400,1144,89,0,0,0,0,2046,2312,384,940,22,3,7,True
7,400,1128,93,0,0,0,0,2062,2296,392,944,22,3,7,True
8,420,1163,103,0,0,0,0,2082,2243,391,913,22,3,7,True
9,400,1140,90,0,0,0,0,2050,2308,386,941,22,3,7,True
10,420,1183,98,0,0,0,0,2062,2263,381,908,22,3,7,True
11,400,1132,92,0,0,0,0,2058,2300,390,943,22,3,7,True
12,400,1132,92,0,0,0,0,2058,2300,390,943,22,3,7,True
13,380,1090,84,0,0,0,0,2044,2346,395,976,22,3,7,True
14,380,1090,84,0,0,0,0,2044,2346,395,976,22,3,7,True
15,380,1090,84,0,0,0,0,2044,2346,395,976,22,3,7,True
16,400,1136,91,0,0,0,0,2054,2304,388,942,22,3,7,True
17,360,1044,78,0,0,0,0,2030,2394,401,1008,22,3,7,True
18,360,1045,78,0,0,0,0,2028,2397,400,1007,22,3,7,True
19,360,1044,78,0,0,0,0,2030,2394,401,1008,22,3,7,True
20,360,1044,78,0,0,0,0,2030,2394,401,1008,22,3,7,True
21,360,1044,78,0,0,0,0,2030,2394,401,1008,22,3,7,True
22,340,997,72,0,0,0,0,2018,2437,409,1042,22,3,7,True
23,380,1091,84,0,0,0,0,2042,2349,394,975,22,3,7,True
24,380,1095,83,0,0,0,0,2038,2353,392,974,22,3,7,True
25,380,1091,84,0,0,0,0,2042,2349,394,975,22,3,7,True
26,380,1091,84,0,0,0,0,2042,2349,394,975,22,3,7,True
27,380,1095,83,0,0,0,0,2038,2353,392,974,22,3,7,True
28,420,1183,98,0,0,0,0,2062,2263,381,908,22,3,7,True
29,360,1043,78,0,0,0,0,2032,2391,402,1009,22,3,7,True
